SubjID,gender,age,education,fam.income,location,sub.topic,topic,perception
C20170902A1030,1,67,3,3,Dongguan,reduce emission,mitigation,3
C20170902A1045,0,64,2,1,Dongguan,re. weather change,adaptation,1
C20170902A1050,1,36,6,5,Dongguan,capricious,temperature,2
B20170903A0930,1,42,6,3,Dongguan,hurricane,disaster,1
B20170903A0931,0,24,7,4,Dongguan,green house effect,scienific terms,3
B20170903A0932,0,28,6,3,Dongguan,El Nino/ozone hole,scienific terms,3
B20170903A0933,1,25,6,4,Dongguan,rising sea,disaster,3
B20170903A0934,0,23,7,3,Dongguan,global warming,scienific terms,3
B20170903A0935,1,40,6,3,Dongguan,hurricane,disaster,3
B20170903A0936,0,41,3,3,Dongguan,air pollution,pollution,3
B20170903A0937,1,23,6,4,Dongguan,green house effect,scienific terms,3
B20170903A0940,1,48,6,1,Dongguan,hurricane,disaster,2
B20170903A0939,1,38,6,2,Dongguan,hurricane,disaster,3
B20170903A0942,1,49,4,4,Dongguan,green house effect,scienific terms,3
B20170903A0943,1,27,6,4,Dongguan,vehicle/industrial exhaust,cause,3
B20170903A0944,0,26,6,2,Dongguan,cold,temperature,0
B20170903A0945,0,33,4,2,Dongguan,cold,temperature,3
B20170903A0946,1,52,2,3,Dongguan,urbanization/economy,cause,2
B20170903A0947,0,19,5,3,Dongguan,global warming,scienific terms,3
B20170903A0948,1,53,3,7,Dongguan,vehicle/industrial exhaust,cause,3
B20170903A0949,0,20,6,3,Dongguan,global warming,scienific terms,3
B20170903A0950,0,18,6,3,Dongguan,hot,temperature,3
B20170903A0951,0,18,6,3,Dongguan,global warming,scienific terms,2
B20170903A0952,0,22,7,2,Dongguan,global warming,scienific terms,3
B20170903A0953,1,22,3,3,Dongguan,re. weather change,adaptation,2
B20170903A0954,1,25,6,3,Dongguan,global warming,scienific terms,1
B20170903A0955,1,38,4,3,Dongguan,air pollution,pollution,3
B20170903A0957,0,21,6,3,Dongguan,global warming,scienific terms,3
B20170903A0958,0,20,6,3,Dongguan,bad weather,weather,2
B20170903A0959,0,21,6,3,Dongguan,nice weather,weather,2
B20170903A0960,1,51,3,3,Dongguan,re. weather change,adaptation,1
B20170902A0930,1,26,4,2,Dongguan,flood,disaster,3
B20170902A0932,0,49,3,3,Dongguan,disease,health,2
B20170902A0936,0,38,3,3,Dongguan,disease,health,3
B20170902A0940,0,34,4,3,Dongguan,disease,health,2
B20170902A0941,1,32,6,4,Dongguan,green house effect,scienific terms,3
B20170902A0942,1,22,4,6,Dongguan,hot,temperature,2
B20170902A0948,1,39,3,3,Dongguan,hot,temperature,1
B20170902A0951,1,22,4,3,Dongguan,capricious,temperature,2
B20170902A0952,1,44,7,4,Dongguan,hot,temperature,3
B20170902A0955,1,39,3,3,Dongguan,hot,temperature,3
B20170902A0957,1,32,6,2,Dongguan,socio-economic impact,socioeconomic_impact,3
B20170902A0958,1,37,6,3,Dongguan,hurricane,disaster,1
C20170903A1020,0,25,7,5,Dongguan,hot,temperature,0
C20170903A1030,1,42,6,6,Dongguan,nice weather,weather,2
C20170903A1039,1,38,6,4,Dongguan,hurricane,disaster,3
C20170903A1120,0,35,6,3,Dongguan,disease,health,1
C20170903A1110,1,26,6,3,Dongguan,vehicle/industrial exhaust,cause,1
C20170903A1111,1,30,6,3,Dongguan,protect environment,mitigation,2
C20170903A1130,1,27,3,2,Dongguan,nice weather,weather,3
C20170903A1115,1,24,7,8,Dongguan,El Nino/ozone hole,scienific terms,2
C20170903A1100,1,34,7,4,Dongguan,re. weather change,adaptation,3
C20170903A1040,0,35,6,3,Dongguan,re. weather change,adaptation,3
C20170903A1036,0,50,7,4,Dongguan,re. weather change,adaptation,3
C20170903A1041,0,40,7,5,Dongguan,re. temperature,adaptation,3
C20170903A1031,1,28,6,5,Dongguan,hurricane,disaster,3
C20170903A1025,0,25,5,4,Dongguan,hot,temperature,3
C20170903A1021,0,36,6,5,Dongguan,hot,temperature,3
C20170903A1016,0,36,3,3,Dongguan,bad weather,weather,2
C20170903A1010,0,16,4,3,Dongguan,capricious,temperature,1
C20170903A1005,1,27,7,5,Dongguan,El Nino/ozone hole,scienific terms,3
C20170903A1000,1,30,6,3,Dongguan,vehicle/industrial exhaust,cause,2
C20170903A0955,0,35,3,3,Dongguan,re. weather change,adaptation,2
C20170903A0950,1,35,6,4,Dongguan,re. weather change,adaptation,1
C20170903A0945,0,36,5,3,Dongguan,hot,temperature,3
C20170903A0925,0,22,7,4,Dongguan,global warming,scienific terms,3
C20170903A0935,0,26,7,3,Dongguan,re. weather change,adaptation,3
C20170903A0926,1,35,5,3,Dongguan,protect environment,mitigation,0
C20170903A0920,0,75,2,2,Dongguan,protect environment,mitigation,3
C20170903A0915,0,33,7,2,Dongguan,other pollution,pollution,3
C20170903A1037,1,33,7,3,Dongguan,re. temperature,adaptation,3
C20170903A1031,0,37,6,4,Dongguan,bad weather,weather,2
C20170903A1001,1,54,3,3,Dongguan,socio-economic impact,socioeconomic_impact,3
A20180120A0900,0,46,4,3,Suzhou,air pollution,pollution,3
A20180120A0905,1,31,6,4,Suzhou,re. air pollution,adaptation,3
A20180120A0915,0,45,4,4,Suzhou,air pollution,pollution,3
A20180120A0920,0,30,5,3,Suzhou,urbanization/economy,cause,3
A20180120A0940,0,46,3,3,Suzhou,re. temperature,adaptation,1
A20180120A0955,1,40,7,5,Suzhou,disease,health,3
A20180120A1005,1,89,4,3,Suzhou,others,adaptation,1
A20180120A1020,1,56,4,4,Suzhou,re. air pollution,adaptation,2
A20180120A1055,0,75,4,2,Suzhou,others,adaptation,3
A20180120A1120,1,53,7,5,Suzhou,air pollution,pollution,3
A20180120A1125,1,24,4,5,Suzhou,air pollution,pollution,2
A20180120A1130,0,28,4,3,Suzhou,vehicle/industrial exhaust,cause,3
A20180120A1135,0,28,4,4,Suzhou,disease,health,3
A20180120A1145,0,61,6,4,Suzhou,others,adaptation,3
A20180121A0900,1,61,2,4,Suzhou,urbanization/economy,cause,2
A20180121A0915,1,63,5,2,Suzhou,re. air pollution,adaptation,3
A20180121A0925,0,48,4,3,Suzhou,re. air pollution,adaptation,2
A20180121A0926,1,58,4,5,Suzhou,re. air pollution,adaptation,3
A20180121A0935,0,30,6,4,Suzhou,re. air pollution,adaptation,2
A20180121A0940,1,30,6,6,Suzhou,air pollution,pollution,3
A20180121A0950,0,36,7,4,Suzhou,green house effect,scienific terms,3
A20180121A1010,0,54,3,2,Suzhou,re. air pollution,adaptation,3
A20180121A1015,0,77,6,3,Suzhou,others,adaptation,3
A20180121A1025,1,77,3,3,Suzhou,re. air pollution,adaptation,3
A20180121A1030,1,63,6,4,Suzhou,GHG/CO2 emission,cause,2
A20180121A1035,0,74,4,4,Suzhou,re. air pollution,adaptation,2
A20180121A1040,0,77,4,3,Suzhou,re. air pollution,adaptation,3
A20180121A1050,0,68,3,4,Suzhou,re. air pollution,adaptation,3
A20180121A1055,0,53,3,2,Suzhou,re. air pollution,adaptation,3
A20180121A1105,1,76,4,4,Suzhou,air pollution,pollution,3
A20180121A1110,1,52,4,4,Suzhou,re. air pollution,adaptation,3
A20180121A1115,0,34,4,5,Suzhou,anomaly,temperature,2
A20180121A1130,0,47,3,3,Suzhou,re. air pollution,adaptation,3
B20180120A0916,0,25,7,5,Suzhou,air pollution,pollution,0
B20180120A1056,0,17,3,5,Suzhou,green house effect,scienific terms,0
B20180120A1057,0,26,7,5,Suzhou,bad weather,weather,3
B20180120A1101,0,11,2,8,Suzhou,global warming,scienific terms,3
B20180120A1130,0,22,6,6,Suzhou,air pollution,pollution,2
B20180120A1131,1,36,6,5,Suzhou,El Nino/ozone hole,scienific terms,2
B20180120A1129,0,16,3,3,Suzhou,green house effect,scienific terms,2
B20180120P1233,1,36,7,7,Suzhou,capricious,temperature,1
B20180120P1235,1,20,6,5,Suzhou,global warming,scienific terms,3
B20180120P1417,0,25,7,4,Suzhou,hot,temperature,3
B20180120P1418,1,20,4,5,Suzhou,protect environment,mitigation,3
B20180120P1419,0,27,5,4,Suzhou,air pollution,pollution,3
B20180120P1421,1,42,6,5,Suzhou,global warming,scienific terms,3
B20180120P1426,1,24,6,5,Suzhou,capricious,temperature,3
B20180120P1428,0,33,4,3,Suzhou,bad weather,weather,2
B20180121A1000,0,24,3,7,Suzhou,air pollution,pollution,3
B20180121A1001,1,22,6,4,Suzhou,physical discomfort,health,3
B20180121A1003,0,18,4,3,Suzhou,capricious,temperature,3
B20180121A1005,0,24,6,5,Suzhou,air pollution,pollution,2
B20180121A1008,0,20,7,6,Suzhou,cold,temperature,3
B20180121A1013,1,24,3,4,Suzhou,reduce emission,mitigation,3
B20180121A1014,0,24,6,4,Suzhou,reduce emission,mitigation,2
B20180121A1016,1,28,6,5,Suzhou,capricious,temperature,2
B20180121A1019,1,31,6,5,Suzhou,vehicle/industrial exhaust,cause,3
B20180121A1020,0,24,3,4,Suzhou,physical discomfort,health,1
B20180121A1021,1,20,7,3,Suzhou,re. temperature,adaptation,1
B20180121A1022,0,30,4,3,Suzhou,other pollution,pollution,3
B20180121A1030,0,53,3,4,Suzhou,reduce emission,mitigation,3
B20180121A1032,1,72,4,5,Suzhou,others,adaptation,3
B20180121A1033,0,35,6,4,Suzhou,bad weather,weather,1
C20180120A0900,0,29,5,6,Suzhou,air pollution,pollution,3
C20180120A0905,0,29,6,4,Suzhou,disease,health,2
C20180120A0910,0,33,7,5,Suzhou,air pollution,pollution,3
C20180120A0915,0,28,5,3,Suzhou,air pollution,pollution,3
C20180120A0925,0,27,7,4,Suzhou,urbanization/economy,cause,3
C20180120A0935,0,25,7,4,Suzhou,air pollution,pollution,3
C20180120A0950,0,28,6,5,Suzhou,bad weather,weather,3
C20180120A0955,0,27,7,4,Suzhou,capricious,temperature,0
C20180120A1000,0,27,7,5,Suzhou,melting ice,disaster,3
C20180120A1001,0,23,4,6,Suzhou,cold,temperature,3
C20180120A1003,1,31,7,5,Suzhou,air pollution,pollution,3
C20180120A1006,0,22,6,3,Suzhou,air pollution,pollution,3
C20180120A1022,0,25,4,5,Suzhou,bad weather,weather,2
C20180120A1024,0,24,7,8,Suzhou,other pollution,pollution,0
C20180120A1030,0,32,4,4,Suzhou,air pollution,pollution,3
C20180120A1100,0,20,4,6,Suzhou,bad weather,weather,0
C20180120A1103,0,22,7,4,Suzhou,green house effect,scienific terms,3
C20180120A1111,0,25,6,4,Suzhou,global warming,scienific terms,3
C20180120A1131,0,21,5,5,Suzhou,global warming,scienific terms,3
C20180120A1134,0,34,3,8,Suzhou,other pollution,pollution,1
C20180121A1000,1,21,6,6,Suzhou,global warming,scienific terms,1
C20180121A1003,0,19,7,5,Suzhou,global warming,scienific terms,2
C20180121A1004,0,20,4,5,Suzhou,global warming,scienific terms,3
C20180121A1006,1,26,7,4,Suzhou,season,weather,3
C20180121A1007,0,18,4,4,Suzhou,air pollution,pollution,2
C20180121A1008,0,20,6,7,Suzhou,capricious,temperature,2
C20180121A1010,0,23,6,3,Suzhou,disease,health,3
C20180121A1011,1,24,6,3,Suzhou,air pollution,pollution,2
C20180121A1013,0,23,6,3,Suzhou,capricious,temperature,3
C20180121A1014,0,19,4,4,Suzhou,cold,temperature,3
C20180121A1015,0,42,7,4,Suzhou,global warming,scienific terms,3
C20180121A1017,0,26,7,4,Suzhou,air pollution,pollution,2
C20180121A1018,1,29,5,3,Suzhou,air pollution,pollution,3
C20180121A1019,1,34,4,4,Suzhou,cold,temperature,3
C20180121A1020,1,23,7,5,Suzhou,air pollution,pollution,3
C20180121A1021,0,25,5,3,Suzhou,capricious,temperature,3
C20180121A1022,1,26,7,4,Suzhou,air pollution,pollution,2
C20180121A1025,0,34,7,4,Suzhou,El Nino/ozone hole,scienific terms,2
C20180121A1026,0,30,3,5,Suzhou,vehicle/industrial exhaust,cause,2
C20180121A1027,1,61,3,5,Suzhou,vehicle/industrial exhaust,cause,2
C20180121A1028,1,35,4,2,Suzhou,vehicle/industrial exhaust,cause,3
C20180121A1029,0,30,6,6,Suzhou,air pollution,pollution,1
C20180121A1030,0,20,3,5,Suzhou,disease,health,1
A20180113A0903,1,72,4,3,Yangzhou,others,adaptation,0
A20180113A0904,1,60,4,3,Yangzhou,anomaly,temperature,2
A20180113A0908,0,62,3,2,Yangzhou,bad weather,weather,2
A20180113A0911,1,66,3,2,Yangzhou,unhapiness,health,3
A20180113A0912,1,29,7,4,Yangzhou,bad weather,weather,2
A20180113A0913,0,66,6,3,Yangzhou,bad weather,weather,3
A20180113A0914,0,63,5,2,Yangzhou,air pollution,pollution,3
A20180113A0921,0,21,6,2,Yangzhou,air pollution,pollution,3
A20180113A0922,1,19,6,4,Yangzhou,bad weather,weather,1
A20180113A0925,1,20,6,5,Yangzhou,green house effect,scienific terms,2
A20180113A0926,1,18,6,4,Yangzhou,bad weather,weather,1
A20180113A0927,1,17,6,4,Yangzhou,bad weather,weather,1
A20180113A0928,1,17,6,3,Yangzhou,bad weather,weather,1
A20180113A0929,1,22,6,3,Yangzhou,bad weather,weather,3
A20180113A0930,0,18,5,3,Yangzhou,global warming,scienific terms,3
A20180113A0931,1,20,6,4,Yangzhou,green house effect,scienific terms,3
A20180113A0932,1,19,6,3,Yangzhou,bad weather,weather,2
A20180113A0933,1,19,4,3,Yangzhou,others,adaptation,1
A20180114A0900,1,16,5,3,Yangzhou,bad weather,weather,3
A20180114A0902,1,20,6,5,Yangzhou,bad weather,weather,2
A20180114A0903,1,19,6,3,Yangzhou,bad weather,weather,3
A20180114A0904,1,15,4,3,Yangzhou,bad weather,weather,2
A20180114A0905,1,15,4,2,Yangzhou,bad weather,weather,0
A20180114A0906,1,19,6,4,Yangzhou,bad weather,weather,3
A20180114A0907,1,20,4,4,Yangzhou,bad weather,weather,3
A20180114A0908,1,20,6,3,Yangzhou,bad weather,weather,2
A20180114A0909,1,73,6,4,Yangzhou,others,adaptation,3
A20180114A0910,0,56,3,5,Yangzhou,air pollution,pollution,3
A20180114A0912,0,67,5,6,Yangzhou,proverb,weather,2
A20180114A0913,1,68,7,5,Yangzhou,nice weather,weather,3
A20180114A0914,1,65,3,4,Yangzhou,other pollution,pollution,2
A20180114A0915,0,56,6,5,Yangzhou,air pollution,pollution,3
A20180114A0917,0,50,4,3,Yangzhou,other pollution,pollution,2
A20180114A0918,0,68,3,3,Yangzhou,air pollution,pollution,2
A20180114A0919,0,55,6,4,Yangzhou,air pollution,pollution,3
A20180114A0920,0,64,3,4,Yangzhou,air pollution,pollution,3
A20180114A0921,0,73,2,4,Yangzhou,disease,health,3
A20180114A0922,0,65,3,4,Yangzhou,air pollution,pollution,3
A20180114A0923,0,59,4,4,Yangzhou,disease,health,3
A20180114A0924,0,63,4,4,Yangzhou,air pollution,pollution,3
A20180114A0925,0,60,5,3,Yangzhou,disease,health,2
A20180114A0926,0,61,4,3,Yangzhou,re. air pollution,adaptation,3
A20180114A0927,0,68,3,4,Yangzhou,air pollution,pollution,3
A20180114A0928,0,58,4,3,Yangzhou,air pollution,pollution,2
A20180114A0929,0,68,6,4,Yangzhou,air pollution,pollution,0
A20180114A0931,0,59,4,4,Yangzhou,air pollution,pollution,3
D20180113A0928,0,32,7,5,Yangzhou,green house effect,scienific terms,1
D20180113A0935,0,56,3,3,Yangzhou,disease,health,3
D20180113A0937,0,70,3,3,Yangzhou,anomaly,temperature,2
D20180113A0938,0,41,5,3,Yangzhou,air pollution,pollution,2
D20180113A0939,0,37,6,5,Yangzhou,air pollution,pollution,3
D20180113A0940,0,40,6,4,Yangzhou,rising sea,disaster,3
D20180113A0942,0,50,4,3,Yangzhou,nice weather,weather,3
D20180113A0944,1,30,6,3,Yangzhou,bad weather,weather,3
D20180113A0945,1,52,3,3,Yangzhou,rising sea,disaster,3
D20180113A0947,1,60,3,4,Yangzhou,air pollution,pollution,2
D20180113A0948,1,60,3,5,Yangzhou,global warming,scienific terms,0
D20180113A0951,0,51,3,3,Yangzhou,disease,health,3
D20180113A0952,1,62,3,3,Yangzhou,bad weather,weather,3
D20180113A0953,0,62,3,4,Yangzhou,bad weather,weather,2
D20180113A0954,0,71,5,4,Yangzhou,bad weather,weather,2
D20180113A0955,1,64,3,3,Yangzhou,protect environment,mitigation,3
D20180113A0956,0,65,3,5,Yangzhou,bad weather,weather,2
D20180113A0958,0,71,1,3,Yangzhou,bad weather,weather,2
D20180113A1000,0,29,6,4,Yangzhou,bad weather,weather,3
D20180113A1020,0,39,6,4,Yangzhou,bad weather,weather,3
D20180113A1130,0,31,7,3,Yangzhou,proverb,weather,3
D20180113A1135,1,48,4,1,Yangzhou,bad weather,weather,3
D20180114A0925,0,35,6,4,Yangzhou,air pollution,pollution,1
D20180114A0926,1,65,4,5,Yangzhou,protect environment,mitigation,3
D20180114A0927,1,65,4,3,Yangzhou,air pollution,pollution,2
D20180114A0928,1,60,4,4,Yangzhou,bad weather,weather,2
D20180114A0930,1,35,7,4,Yangzhou,hurricane,disaster,3
D20180114A0932,1,24,7,4,Yangzhou,bad weather,weather,0
D20180114A0933,1,34,7,4,Yangzhou,green house effect,scienific terms,2
D20180114A0934,0,66,3,5,Yangzhou,cold,temperature,3
D20180114A0935,1,68,3,5,Yangzhou,El Nino/ozone hole,scienific terms,3
D20180114A0936,0,48,2,2,Yangzhou,bad weather,weather,1
D20180114A0938,1,65,5,5,Yangzhou,cold,temperature,3
D20180114A0939,1,50,6,4,Yangzhou,bad weather,weather,0
D20180114A0940,0,30,6,4,Yangzhou,disease,health,3
D20180114A0942,1,29,7,3,Yangzhou,cold,temperature,3
D20180114A0944,0,24,4,8,Yangzhou,protect environment,mitigation,3
D20180114A0946,0,26,6,4,Yangzhou,bad weather,weather,1
D20180114A0947,0,68,3,4,Yangzhou,bad weather,weather,2
D20180114A0949,1,72,6,4,Yangzhou,proverb,weather,2
